Age,Lumped_Age,Genus,Species,Size,Clade1,Clade2,McHenry_shape1,McHenry_shape2,Pierce_shape,Shape,Shape_clade,image
Adult,three,Crocodylus,C. niloticus,2.75,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_niloticus_1967-10.jpg'
Adult,three,Crocodylus,C. niloticus,2.75,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_niloticus_1967-1075.jpg'
Adult,three,Crocodylus,C. niloticus,2.75,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_niloticus_62-6-30-7.jpg'
Subadult,three,Crocodylus,C. niloticus,2.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_niloticus_64-1-25-4.jpg'
Adult,three,Crocodylus,C. niloticus,2.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_niloticus_64-8-8-12.jpg'
Subadult,three,Crocodylus,C. niloticus,2.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_niloticus_82-3-7-1.jpg'
Subadult,three,Crocodylus,C. niloticus,2.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_niloticus_89-9-20-1.jpg'
Adult,three,Crocodylus,C. niloticus,2.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_niloticus_94-6-5-33.jpg'
Adult,three,Crocodylus,C. niloticus,2.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_niloticus_97-6-24-1.jpg'
Subadult,three,Crocodylus,C. novaeguineae,2.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Long_Narrow,Slender,Slender,'C_novaeguineae_86-5-20-1.jpg'
Juvenile,two,Crocodylus,C. novaeguineae,2.25,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Long_Narrow,Slender,Slender,'C_novaeguineae_86-5-20-2.jpg'
Adult,three,Crocodylus,C. novaeguineae,2.75,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Long_Narrow,Slender,Slender,'C_novaeguineae_USNM211290.jpg'
Subadult,three,Crocodylus,C. novaeguineae,2.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Long_Narrow,Slender,Slender,'C_novaeguineae_USNM221301.jpg'
Subadult,three,Crocodylus,C. palustris,2.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Broad,Moderate,Moderate: Crocodylidae,'C_palustris_52-5-9-46.jpg'
Adult,three,Crocodylus,C. palustris,2.75,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Broad,Moderate,Moderate: Crocodylidae,'C_palustris_68-4-9-11.jpg'
Adult,three,Crocodylus,C. palustris,2.75,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Broad,Moderate,Moderate: Crocodylidae,'C_palustris_97-12-31-1.jpg'
Adult,three,Crocodylus,C. palustris,2.75,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Broad,Moderate,Moderate: Crocodylidae,'C_palustris_Presented by Capt Stokes RS.jpg'
Adult,three,Crocodylus,C. porosus,2.75,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_porosus_1866 prest by D'Lalconer.jpg'
Subadult,three,Crocodylus,C. porosus,2.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_porosus_1929-2-22-5.jpg'
Juvenile,two,Crocodylus,C. porosus,2.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_porosus_1932-7-19-1.jpg'
Adult,three,Crocodylus,C. porosus,2.75,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_porosus_1938-1-1-6.jpg'
Adult,three,Crocodylus,C. porosus,2.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_porosus_1938-1-1-60.jpg'
Adult,three,Crocodylus,C. porosus,2.75,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_porosus_43-8-18-4.jpg'
Adult,three,Crocodylus,C. porosus,2.75,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_porosus_52-12-9-2.jpg'
Adult,three,Crocodylus,C. porosus,2.75,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_porosus_64-9-11-1.jpg'
Adult,three,Crocodylus,C. porosus,2.75,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_porosus_65-8-22-1.jpg'
Subadult,three,Crocodylus,C. porosus,2.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_porosus_67-4-2-188.jpg'
Subadult,three,Crocodylus,C. porosus,2.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_porosus_83-6-29-30.jpg'
Adult,three,Crocodylus,C. porosus,2.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_porosus_97-12-31-2.jpg'
Juvenile,two,Crocodylus,C. porosus,2.25,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_porosus_Gray a u r h 1862.jpg'
Adult,three,Crocodylus,C. porosus,2.75,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_porosus_No ID.jpg'
